timestamp;x;y;z
7,82943E+12;-0.33039984;8.599.973;5.329.493
7,82963E+12;-0.2777274;8.628.703;54.539.914
7,82983E+12;-0.22984336;8.590.396;55.880.666
7,83003E+12;-0.272939;86.095.495;55.018.754
7,83023E+12;-0.2681506;8.604.761;55.018.754
7,83043E+12;-0.30166942;8.599.973;55.018.754
7,83063E+12;-0.2633622;8.643.068;5.391.742
7,83082E+12;-0.2633622;863.828;5.401.319
7,83102E+12;-0.20111294;863.828;5.434.838
7,83122E+12;-0.2825158;8.561.666;53.582.234
7,83142E+12;-0.29688102;8.614.338;53.965.306
7,83162E+12;-0.31124622;8.671.799;54.539.914
7,83182E+12;-0.29209262;8.561.666;55.018.754
7,83202E+12;-0.23463176;8.599.973;5.473.145
7,83222E+12;-0.30166942;8.580.819;54.922.986
7,83242E+12;-0.2681506;86.095.495;54.779.334
7,83262E+12;-0.29688102;8.576.031;5.463.568
7,83282E+12;-0.31124622;863.828;53.438.582
7,83302E+12;-0.2681506;8.585.608;5.363.012
7,83322E+12;-0.25857377;8.628.703;54.204.726
7,83341E+12;-0.2681506;8.671.799;55.497.594
7,83361E+12;-0.320823;8.805.874;5.377.377
7,83381E+12;-0.2825158;86.095.495;54.300.494
7,83401E+12;-0.2633622;8.542.512;5.521.029
7,83421E+12;-0.23463176;8.561.666;55.497.594
7,83441E+12;-0.23463176;8.619.126;5.530.606
7,83461E+12;-0.2681506;8.604.761;5.554.548
7,83481E+12;-0.2633622;8.580.819;54.539.914
7,83501E+12;-0.272939;8.590.396;55.018.754
7,83521E+12;-0.29209262;8.571.242;54.683.566
7,83541E+12;-0.2633622;86.095.495;5.511.452
7,83561E+12;-0.25378537;8.599.973;5.425.261
7,83582E+12;-0.2873042;8.686.164;545.878
7,83602E+12;-0.2681506;8.604.761;5.497.087
7,83622E+12;-0.272939;86.095.495;54.779.334
7,83642E+12;-0.2777274;8.595.184;5.463.568
7,83662E+12;-0.2633622;8.619.126;54.061.074
7,83682E+12;-0.2633622;8.619.126;52.720.323
7,83702E+12;-0.24899697;8.595.184;5.425.261
7,83722E+12;-0.2681506;8.566.454;53.725.886
7,83742E+12;-0.272939;8.628.703;54.444.146
7,83762E+12;-0.22026655;8.614.338;5.521.029
7,83783E+12;-0.2633622;8.556.877;53.342.814
7,83803E+12;-0.2873042;86.334.915;53.247.046
7,83823E+12;-0.25378537;8.614.338;5.425.261
7,83843E+12;-0.25378537;8.580.819;548.751
7,83863E+12;-0.2681506;8.623.915;55.401.826
7,83883E+12;-0.2681506;8.599.973;54.444.146
7,83903E+12;-0.2777274;8.576.031;54.683.566
7,83923E+12;-0.25857377;863.828;53.725.886
7,83943E+12;-0.22984336;8.580.819;5.439.626
7,83964E+12;-0.2825158;86.813.755;53.821.654
7,83984E+12;-0.25857377;8.619.126;55.018.754
7,84004E+12;-0.2633622;8.671.799;55.258.174
7,84024E+12;-0.21547815;86.095.495;5.506.664
7,84044E+12;-0.24899697;86.095.495;53.582.234
7,84064E+12;-0.272939;8.671.799;5.243.302
7,84084E+12;-0.24420857;8.652.645;533.907
7,84105E+12;-0.2681506;8.604.761;54.204.726
7,84124E+12;-0.23463176;8.643.068;53.199.162
7,84145E+12;-0.2825158;8.652.645;53.821.654
7,84165E+12;-0.2777274;8.561.666;5.473.145
7,84185E+12;-0.2681506;8.590.396;5.415.684
7,84205E+12;-0.24420857;8.571.242;5.463.568
7,84225E+12;-0.2777274;8.571.242;55.162.406
7,84245E+12;-0.30645782;8.623.915;5.568.913
7,84265E+12;-0.19153613;8.590.396;55.018.754
7,84285E+12;-0.25378537;8.623.915;54.300.494
7,84306E+12;-0.22505496;8.590.396;5.401.319
7,84326E+12;-0.23942018;8.614.338;5.377.377
7,84346E+12;-0.19632454;8.623.915;5.559.336
7,84366E+12;-0.2777274;86.574.335;5.415.684
7,84386E+12;-0.24420857;8.595.184;54.683.566
7,84406E+12;-0.25378537;8.595.184;5.391.742
7,84426E+12;-0.2873042;86.334.915;54.061.074
7,84446E+12;-0.24420857;86.095.495;54.061.074
7,84467E+12;-0.29688102;8.566.454;5.544.971
7,84487E+12;-0.25378537;8.628.703;5.482.722
7,84507E+12;-0.272939;8.619.126;5.530.606
7,84527E+12;-0.23942018;86.095.495;54.683.566
7,84547E+12;-0.2681506;8.576.031;5.544.971
7,84567E+12;-0.23942018;86.334.915;5.626.374
7,84587E+12;-0.272939;8.576.031;5.463.568
7,84607E+12;-0.272939;8.552.089;5.439.626
7,84628E+12;-0.22026655;8.580.819;5.415.684
7,84648E+12;-0.24899697;8.561.666;5.568.913
7,84668E+12;-0.25857377;8.595.184;5.497.087
7,84688E+12;-0.22505496;8.619.126;54.922.986
7,84708E+12;-0.21068975;8.556.877;53.821.654
7,84728E+12;-0.2825158;8.643.068;5.521.029
7,84748E+12;-0.2681506;8.585.608;53.725.886
7,84768E+12;-0.31603462;8.619.126;5.554.548
7,84788E+12;-0.2681506;8.504.205;55.880.666
7,84808E+12;-0.2681506;8.537.724;56.215.854
7,84829E+12;-0.30645782;8.552.089;55.641.246
7,84849E+12;-0.25857377;8.566.454;5.544.971
7,84869E+12;-0.2681506;8.576.031;55.880.666
7,84889E+12;-0.2777274;8.504.205;5.592.855
7,84909E+12;-0.25378537;86.095.495;55.641.246
7,84929E+12;-0.24899697;8.599.973;55.258.174
7,84949E+12;-0.2681506;8.542.512;55.880.666
7,84969E+12;-0.272939;851.857;5.626.374
7,8499E+12;-0.25378537;86.095.495;5.544.971
7,8501E+12;-0.2633622;8.643.068;55.880.666
