timestamp;x;y;z;
7,92E+12;-0.46447513;12.114.661;9.610.326;
7,92E+12;-0.63206923;16.328.455;9.399.636;
7,92E+12;-0.39264908;13.263.878;9.902.418;
7,92E+12;-0.272939;13.551.182;9.323.022;
7,92E+12;-0.545878;11.875.241;9.773.131;
7,92E+12;0.095768064;1.283.292;9.744.401;
7,92E+12;10.965.444;11.731.589;9.576.807;+
7,92E+12;0.11971009;0.89543146;9.212.888;
7,92E+12;-11.683.705;14.652.514;9.260.772;
7,92E+12;-32.609.026;0.7661445;8.820.239;-
7,92E+12;-28.203.697;0.05746084;9.476.251;
7,92E+12;-0.6751649;0.7038953;10.103.531;
7,92E+12;-0.94331545;113.964;12.732.365;
7,93E+12;0.7038953;13.982.137;9.830.592;+
7,93E+12;-0.33997664;10.965.444;9.404.425;
7,93E+12;-1.163.582;12.354.081;5.707.777;
7,93E+12;0.023942016;23.175.871;8.652.645;-
7,93E+12;-0.12449849;260.968;9.457.097;
7,93E+12;-10.199.299;26.001.031;9.528.923;
7,93E+12;-0.33039984;24.372.973;932.781;-
7,93E+12;0.79966336;19.057.846;9.208.099;
7,93E+12;10.103.531;14.748.282;8.556.877;
7,93E+12;26.767.175;0.6464345;9.811.439;+
7,93E+12;22.026.656;11.587.936;9.485.827;
7,93E+12;13.503.298;0.49320555;8.643.068;
7,93E+12;0.9720459;2.542.642;7.441.179;-
7,93E+12;-0.2873042;33.423.057;7.422.025;
7,93E+12;37.732.618;0.60812724;8.987.833;
7,93E+12;16.232.687;0.5554548;10.922.348;
7,93E+12;13.215.994;-15.562.311;1.517.445;+
7,93E+12;12.258.313;-0.019153614;12.066.776;
7,93E+12;-21.930.888;3.289.633;9.002.198;
7,93E+12;-24.995.465;32.609.026;78.769.236;
7,93E+12;-13.934.253;33.566.709;9.691.729;
