timestamp;x;y;z,
8,40823E+12;-0.12449849;0.59376204;926.556
8,40824E+12;-0.110133275;0.61770403;8.724.471
8,40825E+12;-0.20111294;0.5650316;9.284.714
8,40826E+12;-0.25857377;0.58418524;9.552.865
8,40827E+12;-0.36391866;0.62249243;100.269.165
8,40828E+12;-0.24420857;0.61770403;9.753.978
8,40829E+12;-0.18674773;0.60333884;932.781
8,4083E+12;-0.17238252;0.6368576;923.683
8,40831E+12;-0.1388637;0.6368576;9.313.444
8,40832E+12;-0.17717093;0.63206923;95.385
8,40833E+12;-0.22505496;0.59376204;9.572.019
8,40834E+12;-0.24420857;0.545878;9.739.613
8,40835E+12;-0.29688102;0.58897364;9.916.783
8,40836E+12;-0.18195933;0.545878;9.730.036
8,40837E+12;-0.22026655;0.58418524;9.610.326
8,40838E+12;-0.23942018;0.59855044;9.591.172
8,40839E+12;-0.23463176;0.60333884;9.500.193
8,4084E+12;-0.21068975;0.63206923;9.543.288
8,40841E+12;-0.22984336;0.62728083;9.557.653
8,40842E+12;-0.24420857;0.6607997;9.557.653
8,40842E+12;-0.22505496;0.62249243;9.576.807
8,40844E+12;-0.22505496;0.59376204;9.600.749
8,40844E+12;-0.29688102;0.5746084;9.682.152
8,40846E+12;-0.23463176;0.5650316;9.639.056
8,40847E+12;-0.20590134;0.58418524;9.572.019
8,40847E+12;-0.22984336;0.58897364;956.723
8,40848E+12;-0.22026655;0.62249243;9.629.479
8,40849E+12;-0.19153613;0.56982;9.572.019
8,4085E+12;-0.23942018;0.60812724;9.528.923
8,40851E+12;-0.19153613;0.62249243;9.548.077
8,40852E+12;-0.24899697;0.6560113;9.572.019
8,40853E+12;-0.24420857;0.58418524;9.605.537
8,40854E+12;-0.25378537;0.641646;9.591.172
8,40855E+12;-0.2633622;0.6703765;9.600.749
8,40856E+12;-0.2633622;0.5746084;9.615.114
8,40857E+12;-0.25857377;0.61291564;9.605.537
8,40858E+12;-0.2681506;0.56982;9.667.787
8,40859E+12;-0.22984336;0.58897364;9.639.056
8,4086E+12;-0.25378537;0.61291564;9.615.114
8,40861E+12;-0.24420857;0.6512229;9.572.019
8,40862E+12;-0.19632454;0.62728083;9.610.326
8,40863E+12;-0.22026655;0.58418524;9.634.268
8,40864E+12;-0.23463176;0.58897364;9.595.961
8,40865E+12;-0.22026655;0.58418524;9.615.114
8,40866E+12;-0.25378537;0.61291564;956.723
8,40867E+12;-0.22026655;0.6368576;9.624.691
8,40868E+12;-0.24420857;0.5793968;9.576.807
8,40869E+12;-0.24899697;0.5602432;9.600.749
8,4087E+12;-0.25857377;0.60333884;95.385
8,40871E+12;-0.24420857;0.59376204;9.619.903
8,40872E+12;-0.22505496;0.63206923;9.624.691
8,40873E+12;-0.24420857;0.61291564;9.610.326
8,40874E+12;-0.22984336;0.58897364;9.576.807
8,40875E+12;-0.23942018;0.63206923;9.600.749
8,40876E+12;-0.22505496;0.58897364;9.624.691
8,40877E+12;-0.24420857;0.62249243;9.629.479
8,40878E+12;-0.25378537;0.60812724;9.557.653
8,40879E+12;-0.24420857;0.62249243;9.634.268
