timestamp;x;y;z
3,3421E+14;21.499.932;38.498.764;8.049.306
3,3421E+14;-0.31603462;23.942.018;8.863.335
3,3421E+14;-0.15801731;0.18195933;9.174.581
3,34211E+14;-0.21068975;0.89543146;9.983.821
3,34211E+14;0.15801731;0.78529817;9.208.099
3,34211E+14;0.17238252;0.7517793;10.093.954
3,34211E+14;-0.019153614;0.10534488;-0.047884032
3,34211E+14;-0.019153614;0.08619126;0.2633622
3,34212E+14;0.01436521;0.023942016;0.81881696
3,34212E+14;-6.129.156;-41.419.687;56.215.854
3,34212E+14;-20.446.482;-0.58897364;0.038307227
3,34212E+14;-0.009576807;0.05746084;-0.22984336
3,34212E+14;-36.343.982;-0.31603462;-11.712.435
3,34213E+14;12.018.893;28.778.305;-9.217.676
3,34213E+14;38.019.924;-28.778.305;-7.723.695
3,34213E+14;49.655.743;0.59855044;23.511.062
3,34213E+14;30.358.477;-0.9816227;9.107.543
