timestamp;x;y;z
3,3281E+14;0.59855044;11.204.864;93.661.175
3,3281E+14;11.204.864;0.39264908;9.672.575
3,3281E+14;0.45010993;0.9624691;9.878.476
3,32811E+14;0.6703765;0.93373865;9.629.479
3,32811E+14;12.258.313;13.024.458;74.507.556
3,32811E+14;0.8283938;0.6991069;8.039.729
3,32811E+14;0.07182605;-10.534.488;7.177.817
3,32811E+14;10.773.908;25.905.263;32.369.606
3,32812E+14;11.300.632;31.794.999;51.523.223
3,32812E+14;0.009576807;0.7422025;12.430.696
3,32812E+14;2.873.042;19.488.802;14.001.291
3,32812E+14;-410.845;5.793.968;1.952.711
3,32812E+14;0.076614454;15.179.238;12.105.083
3,32813E+14;-0.15801731;0.94810385;8.437.167
3,32813E+14;-0.6560113;0.24420857;17.645.266
3,32813E+14;-0.10534488;22.649.148;16.084.248
3,32813E+14;0.81402856;0.18674773;9.409.213
3,32813E+14;-0.047884032;0.41180268;42.904.096
3,32814E+14;0.22505496;37.253.778;5.693.412
;;;
;;;20.454.144
