timestamp;x;y;z;;;;;;
3,3274E+14;-0.019153614;0.15801731;9.648.633;;;;;;
3,3274E+14;-0.04309563;0.15322891;9.734.824;;;;;;
3,32741E+14;-0.038307227;0.18674773;9.677.363;;;;;;
3,32741E+14;-0.04309563;0.14844051;9.691.729;;;;;;
3,32741E+14;-0.02873042;0.12449849;965.821;;;;;;
3,32741E+14;-0.019153614;0.14844051;9.653.421;;;;;;
3,32741E+14;-0.02873042;0.17717093;9.672.575;;;;;;
3,32742E+14;-0.038307227;0.110133275;968.694;;;;;;
3,32742E+14;-0.019153614;0.11492168;9.672.575;;;;;;
3,32742E+14;-0.038307227;0.19632454;968.694;;;;;;
3,32742E+14;-0.0047884034;0.15322891;9.706.094;;;;;;
3,32742E+14;-0.090979666;0.16759412;9.691.729;;;;;;
3,32743E+14;-0.095768064;0.16280572;9.672.575;;;;;;
3,32743E+14;-0.05746084;0.15322891;9.715.671;;;;;;
3,32743E+14;-0.038307227;0.16280572;9.701.305;;;;;;
3,32743E+14;-0.02873042;0.14844051;968.694;;;;;;
3,32743E+14;-0.076614454;0.16280572;9.662.998;;;;;;
3,32744E+14;-0.038307227;0.18195933;9.706.094;;;;;;
3,32744E+14;-0.047884032;0.16280572;9.639.056;;;;;;
3,32744E+14;-0.06703765;0.18195933;9.662.998;;;;;;
3,32744E+14;-0.047884032;0.15322891;9.677.363;;;;;;
3,32744E+14;-0.076614454;0.1388637;965.821;;;;;;
3,32745E+14;-0.05267244;0.1388637;9.682.152;;;;;;
3,32745E+14;-0.05746084;0.12449849;9.648.633;;;;;;
3,32745E+14;-0.07182605;0.17238252;9.691.729;;;;;;
3,32745E+14;-0.062249243;0.16759412;9.682.152;;;;;;
3,32745E+14;-0.033518825;0.15322891;9.672.575;;;;;;
3,32746E+14;-0.033518825;0.11492168;9.701.305;;;;;;
3,32746E+14;-0.076614454;0.16280572;9.701.305;;;;;;
3,32746E+14;-0.062249243;0.20590134;9.696.517;;;;;;
3,32746E+14;-0.038307227;0.21547815;968.694;;;;;;
3,32746E+14;-0.05267244;0.11492168;9.730.036;;;;;;
3,32747E+14;0.0;0.16280572;9.667.787;;;;;;
3,32747E+14;-0.038307227;0.22026655;9.667.787;;;;;;
3,32747E+14;-0.05267244;0.17238252;9.730.036;;;;;;
3,32747E+14;-0.038307227;0.21547815;9.696.517;;;;;;
3,32747E+14;-0.038307227;0.15801731;9.677.363;;;;;;
3,32748E+14;-0.01436521;0.10055647;9.667.787;;;;;;
3,32748E+14;-0.062249243;0.17717093;9.653.421;;;;;;
3,32748E+14;-0.033518825;0.12928689;9.701.305;;;;;;
3,32748E+14;-0.062249243;0.14844051;9.634.268;;;;;;
3,32748E+14;-0.038307227;0.14844051;9.643.845;;;;;;
3,32749E+14;-0.05267244;0.1340753;9.677.363;;;;;;
3,32749E+14;-0.05267244;0.22984336;9.715.671;;;;;;
3,32749E+14;-0.08140286;0.16280572;9.634.268;;;;;;
3,32749E+14;-0.04309563;0.1388637;968.694;;;;;;
3,32749E+14;-0.17238252;0.34476504;9.691.729;;;;;;
3,3275E+14;-0.062249243;0.23463176;9.696.517;;;;;;
3,3275E+14;-0.009576807;0.11971009;9.662.998;;;;;;
3,3275E+14;-0.08619126;0.12449849;9.682.152;;;;;;
;;;;;;;;;
gemiddelden:;-0.049320554968;0.1628057163;9.681.261;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
