timestamp;x;y;z
9,51E+12;-0.20590134;10.141.838;0.6943185
9,51E+12;0.05267244;10.151.415;0.641646
9,51E+12;-0.076614454;10.089.166;0.45489833
9,51E+12;-0.06703765;100.987.425;0.6560113
9,51E+12;-0.12449849;10.175.357;0.5410896
9,51E+12;-0.019153614;10.108.319;0.48362875
9,51E+12;-0.1388637;10.189.722;0.40222588
9,51E+12;-0.1388637;10.180.145;0.62249243
9,51E+12;-0.11492168;10.151.415;0.5267244
9,51E+12;-0.08619126;10.127.473;0.45968673
9,51E+12;-0.08619126;10.170.568;0.51235914
9,51E+12;-0.10055647;10.151.415;0.49799395
9,51E+12;-0.05267244;10.065.224;0.5650316
9,51E+12;-0.07182605;10.132.261;0.46447513
9,52E+12;-0.090979666;1.019.451;0.48362875
9,52E+12;-0.047884032;1.016.578;0.4261679
9,52E+12;-0.110133275;10.170.568;0.521936
9,52E+12;-0.11492168;10.141.838;0.41180268
9,52E+12;-0.110133275;9.983.821;0.31124622
9,52E+12;-0.12449849;9.911.995;0.48841715
9,52E+12;-0.07182605;1.013.705;0.45010993
9,52E+12;-0.04309563;1.016.578;0.5410896
9,52E+12;-0.095768064;10.103.531;0.47884035
9,52E+12;-0.009576807;10.151.415;0.48362875
9,52E+12;-0.038307227;10.156.203;0.3878607
9,52E+12;-0.047884032;10.093.954;0.47884035
9,52E+12;-0.033518825;10.093.954;0.47405192
9,52E+12;-0.12928689;10.141.838;0.46926352
9,52E+12;0.24420857;11.051.635;-13.551.182
9,52E+12;-0.062249243;10.189.722;0.23463176
9,52E+12;-0.1340753;10.180.145;0.49320555
9,52E+12;-0.047884032;10.117.896;0.6464345
9,52E+12;-0.02873042;10.184.934;0.2873042
9,52E+12;-0.038307227;10.108.319;0.58897364
9,52E+12;0.009576807;10.117.896;0.51235914
9,52E+12;-0.01436521;10.160.992;0.48841715
9,52E+12;-0.08619126;101.226.845;0.48841715
9,52E+12;-0.090979666;10.160.992;0.58897364
9,52E+12;-0.08619126;1.013.705;0.46447513
9,52E+12;-0.11971009;10.175.357;0.63206923
9,52E+12;-0.05746084;10.117.896;0.45010993
9,52E+12;-0.033518825;10.156.203;0.51235914
9,52E+12;-0.10055647;10.141.838;0.48362875
9,52E+12;-0.038307227;10.113.108;0.47884035
9,52E+12;-0.076614454;10.146.626;0.5363012
9,52E+12;-0.095768064;10.160.992;0.50278234
9,52E+12;-0.11971009;10.127.473;0.5602432
9,52E+12;-0.019153614;101.226.845;0.50278234
9,52E+12;-0.062249243;992.636;0.59376204
9,52E+12;-0.15322891;10.146.626;0.61770403
9,52E+12;-0.076614454;10.117.896;0.61770403
9,52E+12;-0.11971009;10.127.473;0.60333884
9,52E+12;-0.12449849;10.089.166;0.61770403
9,52E+12;-0.06703765;1.013.705;0.5650316
9,52E+12;-0.090979666;10.141.838;0.5602432
9,52E+12;-0.12928689;101.226.845;0.59376204
9,52E+12;-0.1340753;1.016.578;0.59855044
9,52E+12;-0.05746084;10.093.954;0.6368576
9,52E+12;-0.090979666;10.103.531;0.5554548
9,52E+12;-0.08619126;10.141.838;0.61770403
9,52E+12;-0.08619126;10.108.319;0.5315128
9,52E+12;-0.095768064;10.089.166;0.5554548
9,52E+12;-0.023942016;10.103.531;0.5746084
9,52E+12;-0.076614454;10.065.224;0.62249243
9,53E+12;-0.095768064;10.113.108;0.5793968
9,53E+12;-0.009576807;10.089.166;0.61291564
9,53E+12;-0.08140286;10.127.473;0.7565677
9,53E+12;-0.16280572;10.156.203;0.36391866
9,53E+12;-0.05267244;10.070.012;0.641646
9,53E+12;-0.08619126;100.508.585;0.47405192
9,53E+12;-0.090979666;10.223.241;0.47884035
9,53E+12;-0.08140286;10.084.377;0.78529817
9,53E+12;-0.05746084;9.983.821;0.770933
9,53E+12;-0.10055647;10.189.722;0.60333884
9,53E+12;-0.1388637;10.060.435;0.89064306
9,53E+12;-0.076614454;10.103.531;0.59855044
9,53E+12;-0.25378537;10.146.626;0.4213795
9,53E+12;-0.12928689;10.132.261;0.6368576
9,53E+12;-0.090979666;10.117.896;0.6943185
9,53E+12;-0.12928689;10.127.473;0.80924016
9,53E+12;-0.12449849;10.108.319;0.6991069
9,53E+12;-0.076614454;10.079.589;0.641646
9,53E+12;-0.19153613;10.127.473;0.6991069
