timestamp;x;y;z
6,83E+12;-0.110133275;6.775.591;74.363.904
6,83E+12;-0.06703765;6.766.014;7.441.179
6,83E+12;12.114.661;74.028.716;6.813.898
6,83E+12;113.964;7.848.193;8.801.085
6,83E+12;10.869.676;7.824.251;52.002.063
6,83E+12;22.936.451;65.457.473;-19.297.266
6,83E+12;41.611.223;2.566.584;-119.374.895
6,83E+12;-0.1388637;0.6560113;-9.763.555
6,83E+12;-0.18195933;0.24899697;-11.104.307
6,83E+12;-0.21547815;0.5315128;-10.338.163
6,83E+12;-0.35913026;0.6751649;-10.429.143
6,83E+12;-0.29688102;0.39743748;-10.218.452
6,83E+12;-0.37828386;0.6655881;-10.266.336
6,83E+12;-0.38307226;0.6703765;-10.251.971
6,83E+12;-0.4165911;0.6991069;-10.261.548
6,83E+12;-0.36391866;0.6799533;-10.261.548
6,83E+12;-0.33518824;0.62728083;-10.261.548
6,83E+12;-0.3878607;0.6847417;-1.025.676
6,83E+12;-0.33039984;0.60812724;-10.271.125
6,83E+12;-0.40701428;0.6368576;-1.025.676
6,83E+12;-0.36391866;0.6512229;-10.247.183
6,83E+12;-0.31124622;0.641646;-10.228.029
6,83E+12;-0.41180268;0.6368576;-10.261.548
6,83E+12;-0.39743748;0.6464345;-10.271.125
6,83E+12;-0.35434186;0.6368576;-10.295.067
6,83E+12;-0.4165911;0.6464345;-10.208.876
6,83E+12;-0.41180268;0.63206923;-1.028.549
6,83E+12;-0.34955344;0.641646;-1.025.676
6,83E+12;-0.38307226;0.62249243;-10.223.241
6,83E+12;-0.3878607;0.61770403;-10.328.587
6,83E+12;-0.4261679;0.6607997;-10.242.394
6,83E+12;-0.34476504;0.59376204;-1.025.676
6,83E+12;-0.35913026;0.6464345;-10.275.913
6,83E+12;-0.39264908;0.61770403;-10.271.125
6,83E+12;-0.39743748;0.6655881;-10.299.856
6,83E+12;-0.3878607;0.58418524;-10.237.606
6,83E+12;-0.37349546;0.6512229;-10.295.067
6,83E+12;-0.34476504;0.6991069;-10.266.336
6,83E+12;-0.41180268;0.63206923;-10.208.876
6,83E+12;-0.30166942;0.61770403;-10.237.606
6,83E+12;-0.37828386;0.6655881;-1.025.676
6,83E+12;-0.37828386;0.6560113;-10.208.876
6,83E+12;-0.39264908;0.641646;-10.275.913
6,83E+12;-0.35913026;0.62728083;-10.338.163
6,83E+12;-0.37349546;0.6991069;-1.025.676
6,84E+12;-0.4213795;0.60812724;-10.251.971
6,84E+12;-0.39743748;0.60812724;-10.290.278
6,84E+12;-0.40222588;0.6560113;-10.208.876
6,84E+12;-0.3878607;0.61770403;-10.314.221
6,84E+12;-0.34955344;0.641646;-10.275.913
6,84E+12;-0.33518824;0.61770403;-10.271.125
6,84E+12;-0.39264908;0.6751649;-10.271.125
6,84E+12;-0.37828386;0.6751649;-10.213.664
6,84E+12;-0.37349546;0.6368576;-10.232.818
6,84E+12;-0.39264908;0.641646;-10.304.645
6,84E+12;-0.38307226;0.6607997;-10.271.125
6,84E+12;-0.37349546;0.6703765;-1.028.549
6,84E+12;-0.35434186;0.6560113;-10.275.913
6,84E+12;-0.39743748;0.61291564;-10.247.183
6,84E+12;-0.38307226;0.62249243;-10.237.606
6,84E+12;-0.4165911;0.6799533;-10.251.971
6,84E+12;-0.37349546;0.6464345;-1.034.774
6,84E+12;-0.34476504;0.6607997;-1.025.676
6,84E+12;-0.38307226;0.62728083;-10.271.125
6,84E+12;-0.34476504;0.61770403;-10.247.183
6,84E+12;-0.38307226;0.6655881;-10.213.664
6,84E+12;-0.33518824;0.59855044;-10.247.183
6,84E+12;-0.33997664;0.62728083;-10.280.702
6,84E+12;-0.35434186;0.6655881;-1.025.676
6,84E+12;-0.40222588;0.6560113;-10.266.336
6,84E+12;-0.25857377;0.33997664;-10.338.163
6,84E+12;0.2873042;0.22026655;-10.180.145
6,84E+12;0.5746084;0.06703765;-11.123.461
6,84E+12;59.567.738;1.436.521;-10.884.041
6,84E+12;671.813;37.445.314;19.201.498
6,84E+12;62.728.086;590.889;-0.49320555
6,84E+12;60.142.345;64.787.097;6.315.904
6,84E+12;4.534.618;69.719.152;43.382.936
6,84E+12;4.687.847;65.696.893;56.790.466
