timestamp;x;y;z
6,87E+12;-10.055.647;25.761.611;707.726
6,87E+12;-28.299.465;39.791.632;71.730.285
6,87E+12;-37.588.966;22.888.567;10.151.415
6,87E+12;0.6991069;35.194.764;80.445.175
6,87E+12;-11.492.168;0.7469909;101.226.845
6,87E+12;16.089.035;-0.21547815;9.849.746
6,87E+12;-0.5554548;0.04309563;9.337.387
6,87E+12;0.019153614;0.2873042;78.146.744
6,87E+12;-0.23463176;0.45010993;9.662.998
6,87E+12;-0.25378537;0.46447513;9.500.193
6,87E+12;-0.2777274;0.5410896;9.543.288
6,87E+12;-0.2633622;0.545878;9.619.903
6,87E+12;-0.29688102;0.58897364;9.648.633
6,87E+12;-0.30645782;0.521936;9.648.633
6,87E+12;-0.2777274;0.56982;9.619.903
6,87E+12;-0.2825158;0.5554548;9.667.787
6,87E+12;-0.24420857;0.48841715;9.591.172
6,87E+12;-0.33997664;0.5363012;9.639.056
6,87E+12;-0.272939;0.51235914;9.548.077
6,87E+12;-0.29688102;0.5602432;9.481.039
6,87E+12;-0.2873042;0.545878;9.586.384
6,87E+12;-0.2825158;0.5602432;9.533.711
6,87E+12;-0.16759412;0.48362875;9.504.981
6,87E+12;-0.1388637;0.5602432;9.639.056
6,87E+12;-0.24899697;0.62249243;9.639.056
6,87E+12;-0.29209262;0.59855044;9.586.384
6,87E+12;-0.31603462;0.5793968;9.672.575
6,87E+12;-0.2825158;0.50278234;9.619.903
6,87E+12;-0.31603462;0.5363012;9.562.442
6,87E+12;-0.320823;0.5554548;9.595.961
6,87E+12;-0.2777274;0.545878;9.739.613
6,87E+12;-0.2681506;0.521936;9.610.326
6,87E+12;-0.31124622;0.56982;9.595.961
6,87E+12;-0.25857377;0.5793968;9.581.595
6,87E+12;-0.30645782;0.641646;9.624.691
6,87E+12;-0.24899697;0.5506664;9.557.653
6,87E+12;-0.29688102;0.50757074;9.576.807
6,87E+12;-0.2633622;0.48841715;9.581.595
6,87E+12;-0.24899697;0.5267244;9.600.749
6,87E+12;-0.24420857;0.5363012;9.581.595
6,87E+12;-0.24420857;0.5506664;9.552.865
6,87E+12;-0.2873042;0.5746084;9.576.807
6,87E+12;-0.2777274;0.5363012;9.610.326
6,87E+12;-0.30166942;0.5410896;9.581.595
6,87E+12;-0.2873042;0.51235914;9.586.384
6,87E+12;-0.25857377;0.5554548;9.581.595
6,87E+12;-0.20111294;0.51714754;9.610.326
6,87E+12;-0.25378537;0.5650316;9.591.172
6,88E+12;-0.2873042;0.5793968;95.385
6,88E+12;-0.2633622;0.521936;9.619.903
6,88E+12;-0.24420857;0.5315128;9.490.616
6,88E+12;-0.30166942;0.56982;9.586.384
6,88E+12;-0.30166942;0.545878;9.619.903
6,88E+12;-0.30645782;0.5315128;9.562.442
6,88E+12;-0.24420857;0.56982;9.634.268
6,88E+12;-0.29688102;0.521936;9.581.595
6,88E+12;-0.2633622;0.5554548;9.543.288
6,88E+12;-0.2681506;0.5267244;9.562.442
6,88E+12;-0.23463176;0.5410896;9.586.384
6,88E+12;-0.272939;0.58418524;9.600.749
6,88E+12;-0.29209262;0.51714754;9.533.711
6,88E+12;-0.30645782;0.51235914;9.615.114
6,88E+12;-0.25857377;0.5267244;9.519.346
6,88E+12;-0.24899697;0.49799395;9.572.019
6,88E+12;-0.25378537;0.51714754;9.615.114
6,88E+12;-0.24420857;0.5315128;9.662.998
6,88E+12;-0.2681506;0.56982;9.581.595
6,88E+12;-0.29688102;0.521936;9.528.923
6,88E+12;-0.272939;0.50278234;9.572.019
6,88E+12;-0.2825158;0.5746084;9.615.114
6,88E+12;-0.32561144;0.51235914;9.543.288
6,88E+12;-0.22026655;0.51714754;9.548.077
6,88E+12;-0.20590134;0.47884035;9.648.633
6,88E+12;-0.2873042;0.4357447;9.543.288
6,88E+12;-0.39264908;0.50757074;9.385.271
6,88E+12;-0.2633622;0.56982;9.615.114
6,88E+12;-0.23463176;0.47884035;9.428.367
6,88E+12;-0.2873042;0.5602432;9.581.595
6,88E+12;-0.2777274;0.5410896;9.653.421
6,88E+12;-0.24899697;0.56982;956.723
6,88E+12;-0.24899697;0.5506664;9.591.172
6,88E+12;-0.30645782;0.51714754;9.591.172
6,88E+12;-0.2825158;0.5506664;9.600.749
