timestamp;x;y;z
6,90E+12;0.91937345;20.590.134;56.120.086
6,90E+12;6.603.208;3.040.636;37.301.662
6,90E+12;9.768.343;22.697.031;23.558.946
6,90E+12;11.329.363;11.061.212;16.519.991
6,90E+12;7.422.025;41.659.107;-0.61291564
6,90E+12;8.465.898;10.151.415;0.7134721
6,90E+12;10.357.317;0.35434186;0.29209262
6,90E+12;9.610.326;0.51235914;-0.0047884034
6,90E+12;9.514.558;0.51235914;-0.038307227
6,90E+12;9.504.981;0.545878;-0.11492168
6,90E+12;9.504.981;0.521936;-0.36870706
6,90E+12;9.543.288;0.58897364;-0.1388637
6,90E+12;9.581.595;0.5506664;-0.10055647
6,90E+12;95.385;0.56982;-0.4357447
6,90E+12;9.495.404;0.51714754;-0.4405331
6,90E+12;9.595.961;0.5602432;-0.4405331
6,90E+12;9.524.135;0.63206923;-0.18674773
6,90E+12;9.524.135;0.5363012;-0.2777274
6,90E+12;9.543.288;0.5315128;-0.12449849
6,90E+12;9.552.865;0.5602432;-0.095768064
6,90E+12;9.548.077;0.56982;-0.1436521
6,90E+12;9.485.827;0.51235914;-0.14844051
6,90E+12;9.591.172;0.521936;-0.06703765
6,90E+12;9.533.711;0.5506664;-0.1436521
6,90E+12;9.581.595;0.545878;-0.24899697
6,90E+12;9.581.595;0.5410896;-0.1436521
6,91E+12;9.514.558;0.5650316;-0.2777274
6,91E+12;9.524.135;0.49799395;-0.095768064
6,91E+12;9.476.251;0.51714754;-0.06703765
6,91E+12;9.485.827;0.5315128;-0.05746084
6,91E+12;9.562.442;0.51235914;0.038307227
6,91E+12;9.552.865;0.5554548;-0.06703765
6,91E+12;9.533.711;0.5267244;-0.08619126
6,91E+12;9.552.865;0.5746084;0.0
6,91E+12;956.723;0.5650316;-0.10055647
6,91E+12;9.552.865;0.5315128;-0.01436521
6,91E+12;9.562.442;0.5267244;-0.076614454
6,91E+12;9.591.172;0.5602432;-0.06703765
6,91E+12;9.572.019;0.40222588;0.14844051
6,91E+12;9.500.193;0.45489833;0.0047884034
6,91E+12;9.552.865;0.36391866;-0.009576807
6,91E+12;956.723;0.45489833;0.033518825
6,91E+12;9.490.616;0.49320555;-0.1436521
6,91E+12;9.509.769;0.36391866;-0.01436521
6,91E+12;9.533.711;0.45968673;0.19153613
6,91E+12;9.533.711;0.46926352;-0.10055647
6,91E+12;9.519.346;0.47405192;-0.023942016
6,91E+12;9.552.865;0.5267244;-0.04309563
6,91E+12;9.533.711;0.50757074;-0.033518825
6,91E+12;956.723;0.56982;-0.21547815
6,91E+12;9.528.923;0.545878;-0.095768064
6,91E+12;9.495.404;0.5506664;-0.076614454
6,91E+12;9.524.135;0.51714754;0.095768064
6,91E+12;9.514.558;0.5315128;-0.08140286
6,91E+12;9.533.711;0.5506664;-0.19632454
6,91E+12;956.723;0.5410896;-0.06703765
6,91E+12;9.572.019;0.5363012;-0.15801731
6,91E+12;9.528.923;0.5267244;-0.095768064
6,91E+12;9.495.404;0.5506664;-0.15801731
6,91E+12;956.723;0.51235914;-0.15322891
6,91E+12;956.723;0.5267244;-0.22505496
6,91E+12;9.557.653;0.5363012;-0.24420857
6,91E+12;9.552.865;0.5363012;-0.076614454
6,91E+12;9.552.865;0.5410896;-0.110133275
6,91E+12;9.519.346;0.49320555;-0.20111294
6,91E+12;95.385;0.5363012;-0.11971009
6,91E+12;9.562.442;0.5315128;-0.20111294
6,91E+12;956.723;0.5650316;-0.110133275
6,91E+12;9.504.981;0.5506664;-0.20111294
6,91E+12;95.385;0.5267244;-0.033518825
6,91E+12;9.543.288;0.545878;-0.062249243
6,91E+12;9.481.039;0.521936;-0.02873042
6,91E+12;9.509.769;0.5650316;-0.05746084
6,91E+12;9.552.865;0.50278234;0.08140286
6,91E+12;9.548.077;0.5267244;-0.06703765
6,91E+12;9.514.558;0.5315128;-0.20111294
6,92E+12;9.548.077;0.545878;-0.10055647
6,92E+12;9.528.923;0.51714754;-0.05267244
6,92E+12;95.385;0.521936;-0.06703765
6,92E+12;9.533.711;0.45489833;-0.11492168
6,92E+12;9.586.384;0.51714754;-0.22505496
6,92E+12;9.552.865;0.5650316;-0.18195933
6,92E+12;9.485.827;0.51714754;-0.076614454
