timestamp;x;y;z
6,94E+12;-10.055.647;0.6655881;0.10534488
6,94E+12;-10.093.954;0.62728083;0.20590134
6,94E+12;-9.911.995;0.48841715;0.090979666
6,94E+12;-100.987.425;0.7182605;-0.16280572
6,94E+12;-100.748.005;0.6847417;-0.20590134
6,94E+12;-10.065.224;0.7469909;-0.11492168
6,94E+12;-100.508.585;0.6991069;-0.02873042
6,94E+12;-10.093.954;0.6847417;-0.033518825
6,94E+12;-10.103.531;0.7374141;-0.12449849
6,94E+12;-10.065.224;0.82360536;-0.15322891
6,94E+12;-10.084.377;0.7086837;0.2825158
6,94E+12;-10.036.493;0.7661445;0.49799395
6,94E+12;-10.031.705;0.63206923;-0.35434186
6,94E+12;-1.004.607;0.7182605;-0.22505496
6,94E+12;-9.974.244;0.81402856;-0.33518824
6,94E+12;-10.084.377;0.7086837;-0.12449849
6,94E+12;-10.055.647;0.6991069;-0.08140286
6,94E+12;-9.993.398;0.62249243;-0.033518825
6,94E+12;-100.748.005;0.6703765;-0.2873042
6,94E+12;-10.199.299;0.7469909;-0.15322891
6,94E+12;-10.022.128;0.5746084;-0.15801731
6,94E+12;-10.060.435;0.6943185;0.047884032
6,94E+12;-10.108.319;0.7469909;-0.019153614
6,94E+12;-100.987.425;0.7422025;0.01436521
6,94E+12;-10.117.896;0.91458505;0.019153614
6,94E+12;-10.031.705;0.7086837;0.12449849
6,94E+12;-100.029.745;0.7613561;0.10055647
6,94E+12;-10.089.166;0.7278373;0.05746084
6,95E+12;-10.041.282;0.6895301;0.05267244
6,95E+12;-10.117.896;0.6368576;0.05746084
6,95E+12;-10.070.012;0.7230489;-0.009576807
6,95E+12;-1.013.705;0.6751649;0.11492168
6,95E+12;-1.004.607;0.6751649;0.05746084
6,95E+12;-10.103.531;0.641646;-0.023942016
6,95E+12;-10.070.012;0.7326257;0.10055647
6,95E+12;-10.055.647;0.6943185;0.10055647
6,95E+12;-10.041.282;0.80924016;0.23463176
6,95E+12;-10.031.705;0.62728083;0.18195933
6,95E+12;-10.103.531;0.6512229;0.14844051
6,95E+12;-10.031.705;0.47884035;0.23942018
6,95E+12;-10.055.647;0.6991069;0.16280572
6,95E+12;-10.070.012;0.6895301;0.12928689
6,95E+12;-10.084.377;0.6991069;0.076614454
6,95E+12;-10.070.012;0.7661445;0.20111294
6,95E+12;-10.022.128;0.641646;0.10534488
6,95E+12;-10.036.493;0.641646;0.047884032
6,95E+12;-10.031.705;0.7230489;0.15801731
6,95E+12;-10.108.319;0.6512229;0.15322891
6,95E+12;-10.060.435;0.6560113;0.19153613
6,95E+12;-10.031.705;0.6751649;0.16280572
6,95E+12;-10.070.012;0.6943185;0.15801731
6,95E+12;-1.001.734;0.7038953;0.15322891
6,95E+12;-10.079.589;0.62249243;0.1340753
6,95E+12;-10.041.282;0.61770403;0.10055647
6,95E+12;-10.132.261;0.58897364;-0.110133275
6,95E+12;-10.060.435;0.62249243;0.22026655
6,95E+12;-1.013.705;0.62728083;0.14844051
6,95E+12;-100.748.005;0.60812724;0.17717093
6,95E+12;-10.070.012;0.56982;0.16759412
6,95E+12;-1.004.607;0.61291564;0.19632454
6,95E+12;-100.987.425;0.5793968;0.12449849
6,95E+12;-10.036.493;0.59855044;0.08619126
6,95E+12;-10.012.551;0.59855044;0.14844051
6,95E+12;-10.079.589;0.5746084;0.1436521
6,95E+12;-100.748.005;0.59855044;0.17238252
6,95E+12;-10.055.647;0.59376204;0.12928689
6,95E+12;-10.012.551;0.5746084;0.15322891
6,95E+12;-10.065.224;0.61291564;0.11971009
6,95E+12;-10.022.128;0.61770403;0.17717093
6,95E+12;-10.060.435;0.5650316;0.14844051
6,95E+12;-100.269.165;0.5602432;0.20111294
6,95E+12;-10.070.012;0.5793968;0.1436521
6,95E+12;-1.004.607;0.61291564;0.11971009
6,95E+12;-10.070.012;0.62728083;0.12449849
6,95E+12;-1.001.734;0.58897364;0.08140286
6,95E+12;-100.508.585;0.63206923;0.11492168
6,95E+12;-10.108.319;0.60812724;0.11492168
6,95E+12;-1.001.734;0.5267244;0.17717093
6,96E+12;-100.987.425;0.5793968;0.12928689
6,96E+12;-10.041.282;0.5506664;0.16280572
6,96E+12;-10.060.435;0.60812724;0.10534488
6,96E+12;-10.070.012;0.61291564;0.1388637
6,96E+12;-10.007.763;0.60333884;0.10534488
6,96E+12;-10.041.282;0.58897364;0.062249243
6,96E+12;-10.079.589;0.60812724;0.20111294
6,96E+12;-10.079.589;0.60812724;0.076614454
6,96E+12;-100.508.585;0.60333884;0.07182605
6,96E+12;-10.079.589;0.58418524;0.05267244
